작성자,날짜,댓글내용
kwgs****,2020.06.02. 14:18,국회의원 말도 안됩니다.퇴출시켜야 합니다.모든 국민의 생각입니다.민주당은 누구를 대변하는겁니까?
clse****,2020.05.30. 21:09,난 민주당 찍었지만 윤미향은 퇴출이 맞다고 본다
dlar****,2020.05.30. 21:01,윤미향 쉴드치는 민주당의원들도 같이 퇴출운동 해야한다.
krtt****,2020.05.30. 23:21,기부금과 보조금을 횡령한 도둑년이 국회의원이라다 이게 더불어민주당의 수준이다 국민들은 저런 도둑년을 국회의원으로 뽑은적없다 반드시 퇴출시켜야한다
cott****,2020.05.30. 20:26,30년동안 이용해먹다가 ㅡ 빨만큼 빨았으니까ㅡ이제 이용가치가 떨어지니 비례대포국개의원으로? ㅡ 정의연은 해체해라!~ 해 먹을꺼도없잔아? ㅡ 토착왜구라 몰아세우더니ㅡ 왜구의 과자맛은 못있었나 보구나?... 국민들이 나서야합니다. 나서서 윤미향이 사퇴시켜야됩니다~ 이런뇬이 뭔 일을 할까요? ㅡ 뻔하지않습니까? ㅡ 빨대 빠는것만 하겠지요!~
nort****,2020.05.30. 20:19,수사 기다리면 제대로 하게 냅두냐?? 조국 일가 수사하는 검찰팀 여기저기 좌천시키고 법무부 장관이 총장 압박했으면서 ㅡㅡ 또 똑같은 수법으로 뻐팅기겟네
sung****,2020.09.14. 12:34,이런 악녀 윤미향을 감싸는 민주당도 퇴출 시켜야한다. 대한민국 정의를 위해서..
dkfk****,2020.05.30. 20:22,야당 의원이 저 정도 의혹을 받는 상황이라면 문재인은 지금처럼 입 다물고 지켜만 보고 있을까? 그 놈이 해왔던 짓거리로 보면 정의가 어쩌니 저쩌니 입에 거품물고 달야들거나 추미애시켜 찢고 물어 뜯어 시체만든지 오래전 일일것이다.
livi****,2020.05.30. 20:01,할머니들 돈으로 집사고 딸교육시키고 이제 뺏지달았으니 연금으로 평생먹고살겄네 이게 말이되느냐 말이지 범죄자가 국회로 국민에 힘을 다시 보여줄때가 된듯 더불려당은 얻어먹은게 많아서 손안씀 국민이 나서야됨
lcj6****,2020.05.30. 23:07,정치자금으로 쓰였냐? 왜 자꾸 옹호하지.
bagn****,2021.02.27. 22:24,국민이 나서서 퇴출운동해야합니다 청와대는 모르쇠로 일관하고있고 파렴치하고 후안무치한 민주당은 감싸주는 형색이고 국민이 나서서 저인간의 탈을 쓴 윤악마를 반드시 퇴출시켜야합니다 ㅉ
joo8****,2020.05.30. 20:24,조국과 윤미향사건을 봤을때 이건 개인의 문제가 아니고 민주당의 정체성자체에 문제가 있는것같다.
hdyo****,2020.06.01. 00:51,할머니들 한풀어준다 생긴 정의연이 되려 할머니들 한매치게 하는데 국민들이 가만히 있을수 없지요. 진짜 할먼들을 위해 일해왔다면 혹여나 억울한일 있어도 윤미향은 그자리서 내려와야 마땅하지. 하는짓을 보니 욕심으로 가득차있고만
1680****,2020.05.30. 20:35,이게나라야?옹호할걸옹호해야지
jjy8****,2020.05.30. 23:08,수사가 필요한가. 그냥 일반인이 딱봐도지은죄가 넘쳐나는데 그리고 편드는 사람들 양심좀 갖고말합시다. 왜구니뭐니하는데 할머니 이용해먹은게 더왜구 같은짓거리죠.
jww1****,2020.05.30. 22:54,얼마나 받아먹었길래 문재인및 민주당 수뇌부들이 침묵하고 있는거지??
dalc****,2020.05.30. 20:44,"국민이 나섭시다. 옛날, 근현대에도 언제나 나라에 감당못할 일이 생길 때마다 백성들이 나섰으니 국민이라면, 니편내편에 목매지말고 잘못된 건 바로잡고 귀찮게 닥달해서라도 의혹은 명확히 풀어야한다고 생각합니다. 옛날처럼 정치는 정치인의 전유물이고 그들은 왕에 양반이고 백성은 천하게 여기는 시대도 아닌데 특정 정당에 목매는 것도 바뀌어야 한다고 생각합니다. 실제로는 잘 알지도 못하는 정치인들 메이킹된 이미지만 보고 무조건 편들어주고 그러다 이용당하고 개돼지취급 받으며 사는 거 괜찮은가요? 정치인이 중요한가요 올바른 정치가 중요한가요?"
skl7****,2020.05.30. 20:10,언제까지 그저 윤미향을 바라만 볼건가? 민주당아. 살다살다 약자등쳐먹는 저런 더러운 집단 처음보며 뻔뻔한 당당함에 그저 말문이 막힘. 이땅에 양심을 갖고 정의롭게 살면 저들처럼 집 여러채 못산다. 그것도 쉴드치고 아닥하는 무리들은 더 더러운집단.
bae8****,2020.08.12. 15:56,21대는 20대보다 더 최악이고 이를 만든건 전라도 광주 서울 경기 충청 대전이다 제정신이냐 이럴라고 박그네 탄핵시킴? 박그네가 한짓거리가 작아보인다
ruru****,2020.05.30. 20:19,그많던 촛불은 다 어디갔니!!! 이런 불법을 눈감고있는 문가와 민주당을 탄핵한다....
jjpu****,2020.05.31. 09:24,저 여자 보면 문재인 진짜 제정신인가 싶다. 그렇게 정의 외쳐대더니 닭 있었을때보다도 나라가 더 이상해 진거 같다. 도덕심은 더 없어지고 국민들은 더 황폐해 지고 경기는 나빠지고 국민들 서로 정치적으로 갈라서 싸움 하게나 만들고 댓글도 맘대로 못달고.
nana****,2020.05.30. 23:18,조국이랑 문일가 모두 퇴진!!!!!! 총선 다시해라!!!! 사기꾼들아
kp76****,2020.05.30. 21:40,무조건 온 국민이 퇴출운동해야한다.촛불집회를 열어서라도 저런년은 국회에서 추방해야한다. 썩은 고기는 개나 줘라.
wess****,2022.04.05. 02:29,퇴출 운동 합시다 국민들이 앞장서야 합니다 청와대 청원 하자구요
yju7****,2020.05.30. 20:30,전국민들이 나서야한다 전국민들이 촛불 들고 나서야한다 다시는 시민단체 기웃 거리지 못하게 묵사발내야한다 꺼져라 양파야
ezen****,2020.05.30. 20:19,퇴출운동지지한다!!!저런인간이국회의원해서는안된다!!!!
jhlc****,2020.05.31. 04:00,민주당 지지자 이지만 윤미향은 아닌것 같습니다...많은 분들의 입에 오르내리는 이런 사람들은 퇴출시키는게 맞는것 같네요
dlsw****,2022.05.07. 09:52,"9억에 쉼터사서 인테리어 1억8천 들여6억5천에 시세대로 팔았다고"" 리베이트받고 비싸게 사서 시대대로 팔았다는말 아닌가? 국민도 ,위안부 할머니보듯하네! 이런여자,국회가면 나라팔아먹고도 남을녕 이네"
